time,h,der(h),v,der(v),g,e
0,1,0,0,-9.81,9.81,0.7
0.1,0.955855,-0.981,-0.981,-9.81,9.81,0.7
0.2,0.81361,-1.962,-1.962,-9.81,9.81,0.7
0.3,0.573265,-2.943,-2.943,-9.81,9.81,0.7
0.4,0.23482,-3.924,-3.924,-9.81,9.81,0.7
0.5,0.105132,2.76642,2.76642,-9.81,9.81,0.7
0.6,0.337629,1.78542,1.78542,-9.81,9.81,0.7
0.7,0.472026,0.80442,0.80442,-9.81,9.81,0.7
0.8,0.508323,-0.17658,-0.17658,-9.81,9.81,0.7
0.9,0.44652,-1.15758,-1.15758,-9.81,9.81,0.7
1,0.286617,-2.13858,-2.13858,-9.81,9.81,0.7
1.1,0.0286138,-3.11958,-3.11958,-9.81,9.81,0.7
1.2,0.164816,1.36948,1.36948,-9.81,9.81,0.7
1.3,0.257618,0.388476,0.388476,-9.81,9.81,0.7
1.4,0.252321,-0.592524,-0.592524,-9.81,9.81,0.7
1.5,0.148924,-1.57352,-1.57352,-9.81,9.81,0.7
1.6,0.0276093,1.45463,1.45463,-9.81,9.81,0.7
1.7,0.128927,0.473627,0.473627,-9.81,9.81,0.7
1.8,0.132145,-0.507373,-0.507373,-9.81,9.81,0.7
1.9,0.0372623,-1.48837,-1.48837,-9.81,9.81,0.7
2,0.0564181,0.561171,0.561171,-9.81,9.81,0.7
2.1,0.0683902,-0.419829,-0.419829,-9.81,9.81,0.7
2.2,0.00440872,0.81381,0.81381,-9.81,9.81,0.7
2.3,0.0416447,-0.16719,-0.16719,-9.81,9.81,0.7
2.4,-0.00136772,0.636963,0.636963,-9.81,9.81,0.7
2.5,0.0181836,-0.344037,-0.344037,-9.81,9.81,0.7
2.6,0.0147514,-0.073094,-0.073094,-9.81,9.81,0.7
2.7,0.00829223,0.0707858,0.0707858,-9.81,9.81,0.7
2.8,0.00643718,-0.0299301,-0.0299301,-9.81,9.81,0.7
2.9,0.00237684,-0.292969,-0.292969,-9.81,9.81,0.7
3,0.00280885,0.0928662,0.0928662,-9.81,9.81,0.7
3.1,0.00174935,-0.212156,-0.212156,-9.81,9.81,0.7
3.2,0.00280038,-0.0343056,-0.0343056,-9.81,9.81,0.7
3.3,0.000424681,0.152903,0.152903,-9.81,9.81,0.7
3.4,0.00026573,-0.254182,-0.254182,-9.81,9.81,0.7
3.5,0.00204381,-0.0548983,-0.0548983,-9.81,9.81,0.7
3.6,0.00260964,-0.0739882,-0.0739882,-9.81,9.81,0.7
3.7,0.000515689,0.133459,0.133459,-9.81,9.81,0.7
3.8,0.00138567,0.118369,0.118369,-9.81,9.81,0.7
3.9,0.000708703,-0.230008,-0.230008,-9.81,9.81,0.7
4,0.00206857,-0.043053,-0.043053,-9.81,9.81,0.7
4.1,0.00241128,-0.018153,-0.018153,-9.81,9.81,0.7
4.2,-7.91038e-05,0.160818,0.160818,-9.81,9.81,0.7
4.3,-0.000119333,0.181806,0.181806,-9.81,9.81,0.7
4.4,0.000155255,-0.274414,-0.274414,-9.81,9.81,0.7
4.5,0.00228335,-0.0648119,-0.0648119,-9.81,9.81,0.7
4.6,0.000124243,0.137955,0.137955,-9.81,9.81,0.7
4.7,0.00103874,0.120572,0.120572,-9.81,9.81,0.7
4.8,0.00178114,0.112054,0.112054,-9.81,9.81,0.7
4.9,0.00100946,-0.225588,-0.225588,-9.81,9.81,0.7
5,0.00229286,-0.0408871,-0.0408871,-9.81,9.81,0.7
5.1,-3.61124e-05,0.149678,0.149678,-9.81,9.81,0.7
5.2,-0.000243438,0.176347,0.176347,-9.81,9.81,0.7
5.3,-5.07272e-05,0.189415,0.189415,-9.81,9.81,0.7
5.4,0.000338001,-0.279741,-0.279741,-9.81,9.81,0.7
5.5,0.00255824,-0.0674219,-0.0674219,-9.81,9.81,0.7
5.6,0.00041767,0.136676,0.136676,-9.81,9.81,0.7
5.7,0.0013195,0.119945,0.119945,-9.81,9.81,0.7
5.8,0.000666185,-0.231112,-0.231112,-9.81,9.81,0.7
5.9,0.00204515,-0.0435938,-0.0435938,-9.81,9.81,0.7
6,0.00238526,-0.0184179,-0.0184179,-9.81,9.81,0.7
6.1,-0.000103244,0.160688,0.160688,-9.81,9.81,0.7
6.2,-0.000145421,0.181742,0.181742,-9.81,9.81,0.7
6.3,0.000128213,-0.27437,-0.27437,-9.81,9.81,0.7
6.4,0.00225554,-0.0647901,-0.0647901,-9.81,9.81,0.7
6.5,0.00282433,-0.0788351,-0.0788351,-9.81,9.81,0.7
6.6,0.000764792,0.131084,0.131084,-9.81,9.81,0.7
6.7,0.000278549,-0.238909,-0.238909,-9.81,9.81,0.7
6.8,0.0011174,-0.214184,-0.214184,-9.81,9.81,0.7
6.9,0.00220351,-0.0352993,-0.0352993,-9.81,9.81,0.7
7,0.00258344,-0.0143536,-0.0143536,-9.81,9.81,0.7
7.1,6.60774e-05,0.16268,0.16268,-9.81,9.81,0.7
7.2,5.37731e-05,-0.261026,-0.261026,-9.81,9.81,0.7
7.3,0.00195025,-0.0582516,-0.0582516,-9.81,9.81,0.7
7.4,0.00251708,-0.0756313,-0.0756313,-9.81,9.81,0.7
7.5,0.000434797,0.132654,0.132654,-9.81,9.81,0.7
7.6,0.00129681,0.117974,0.117974,-9.81,9.81,0.7
7.7,0.000613923,-0.229732,-0.229732,-9.81,9.81,0.7
7.8,0.00140322,-0.209688,-0.209688,-9.81,9.81,0.7
7.9,0.00241154,-0.033096,-0.033096,-9.81,9.81,0.7
8,2.72539e-05,0.153496,0.153496,-9.81,9.81,0.7
8.1,-0.000122806,0.178218,0.178218,-9.81,9.81,0.7
8.2,9.7964e-05,-0.271903,-0.271903,-9.81,9.81,0.7
8.3,0.00218261,-0.0635813,-0.0635813,-9.81,9.81,0.7
8.4,0.00275104,-0.0782428,-0.0782428,-9.81,9.81,0.7
8.5,0.000687298,0.131374,0.131374,-9.81,9.81,0.7
8.6,0.000205408,-0.239112,-0.239112,-9.81,9.81,0.7
8.7,0.00104535,-0.214284,-0.214284,-9.81,9.81,0.7
8.8,0.00213319,-0.0353481,-0.0353481,-9.81,9.81,0.7
8.9,0.00251288,-0.0143775,-0.0143775,-9.81,9.81,0.7
9,-4.30875e-06,0.162668,0.162668,-9.81,9.81,0.7
9.1,-1.67887e-05,0.182712,0.182712,-9.81,9.81,0.7
9.2,0.000271396,-0.275049,-0.275049,-9.81,9.81,0.7
9.3,0.00241047,-0.0651228,-0.0651228,-9.81,9.81,0.7
9.4,0.000253569,0.137803,0.137803,-9.81,9.81,0.7
9.5,0.00116656,0.120497,0.120497,-9.81,9.81,0.7
9.6,0.000521518,-0.231498,-0.231498,-9.81,9.81,0.7
9.7,0.00132035,-0.210553,-0.210553,-9.81,9.81,0.7
9.8,0.00234365,-0.03352,-0.03352,-9.81,9.81,0.7
9.9,-3.76312e-05,0.153288,0.153288,-9.81,9.81,0.7
10,-0.000190808,0.178116,0.178116,-9.81,9.81,0.7
10.1,2.84349e-05,-0.271831,-0.271831,-9.81,9.81,0.7
10.2,0.00211185,-0.0635464,-0.0635464,-9.81,9.81,0.7
10.3,0.00268027,-0.0782257,-0.0782257,-9.81,9.81,0.7
10.4,0.000616404,0.131382,0.131382,-9.81,9.81,0.7
10.5,0.00146583,0.117351,0.117351,-9.81,9.81,0.7
10.6,0.0007736,-0.229296,-0.229296,-9.81,9.81,0.7
10.7,0.00212115,-0.042704,-0.042704,-9.81,9.81,0.7
10.8,0.00246553,-0.017982,-0.017982,-9.81,9.81,0.7
10.9,-2.60671e-05,0.160902,0.160902,-9.81,9.81,0.7
11,-6.50396e-05,0.181847,0.181847,-9.81,9.81,0.7
11.1,0.000210164,-0.274443,-0.274443,-9.81,9.81,0.7
11.2,0.00233875,-0.064826,-0.064826,-9.81,9.81,0.7
11.3,0.000179749,0.137948,0.137948,-9.81,9.81,0.7
11.4,0.00109418,0.120569,0.120569,-9.81,9.81,0.7
11.5,0.000450207,-0.231548,-0.231548,-9.81,9.81,0.7
11.6,0.00124931,-0.210578,-0.210578,-9.81,9.81,0.7
11.7,0.00227303,-0.033532,-0.033532,-9.81,9.81,0.7
11.8,0.00266143,-0.0134877,-0.0134877,-9.81,9.81,0.7
11.9,0.000137927,0.163104,0.163104,-9.81,9.81,0.7
12,0.000131988,-0.261323,-0.261323,-9.81,9.81,0.7
12.1,0.0020336,-0.0583972,-0.0583972,-9.81,9.81,0.7
12.2,0.00260048,-0.0757026,-0.0757026,-9.81,9.81,0.7
12.3,0.0005187,0.132619,0.132619,-9.81,9.81,0.7
